ID: ,Cena: ,Powierzchnia: ,Cena za metr: ,Pokoje: ,Ulica: ,Dzielnica: ,Obszar administracyjny,Miasto,Województwo,Piętro: ,Winda: ,Czynsz: ,Tytuł: ,Link: 
66920496,210 000 zł,27.76m²,7 565 zł/m²,1,ul. Krótka, Główna, Nowe Miasto, Poznań, wielkopolskie,2 piętro,nie,0 zł,Kawalerka w okolicy Ronda Śródka - ul. Krótka 2.,https://www.otodom.pl/pl/oferta/kawalerka-w-okolicy-ronda-srodka-ul-krotka-2-ID4vN4Q
66894181,319 000 zł,20.9m²,15 263 zł/m²,1,ul. Bliźniąt, Chartowo, Nowe Miasto, Poznań, wielkopolskie,1 piętro,nie,280 zł,"Kawalerka, Os. Zodiak, Górny Taras Rataj, Chartowo, Jezioro Malta, Las",https://www.otodom.pl/pl/oferta/kawalerka-os-zodiak-gorny-taras-rataj-chartowo-jezioro-malta-las-ID4vGep
66959767,320 000 zł,32m²,10 000 zł/m²,1,os. Bolesława Chrobrego, Piątkowo, Stare Miasto, Poznań, wielkopolskie,parter,tak,500 zł,Sprzedam kawalerkę os. Chrobrego,https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-os-chrobrego-ID4vXif
66713212,321 800 zł,29.1m²,11 058 zł/m²,1,ul. Naramowicka, Naramowice, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,1-pokojowe mieszkanie 29m2 Bez Prowizji,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-bez-prowizji-ID4wW9y
66261100,339 900 zł,53.5m²,6 353 zł/m²,2,ul. Biskupińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie,parter,nie,230 zł,Na sprzedaż mieszkanie na Ul. Biskupińskiej,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-na-ul-biskupinskiej-ID4u1xq
66865856,319 000 zł,27m²,11 815 zł/m²,1,os. Przyjaźni, Winogrady, Stare Miasto, Poznań, wielkopolskie,4 piętro,tak,547 zł,"Na sprzedaż kawalerka – os. Przyjaźni, Poznań (Winogrady)",https://www.otodom.pl/pl/oferta/na-sprzedaz-kawalerka-os-przyjazni-poznan-winogrady-ID4vyRy
66796217,329 000 zł,21.5m²,15 302 zł/m²,1,ul. Husarska, Kasztelanów, Grunwald, Poznań, wielkopolskie,4 piętro,nie,300 zł,gotowiec inwestycyjny na Grunwaldzie,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-na-grunwaldzie-ID4vgKl
66952880,345 000 zł,27m²,12 778 zł/m²,1,os. Kosmonautów, Winogrady, Stare Miasto, Poznań, wielkopolskie,10+ piętro,tak,375 zł,Kawalerka | 27m2 | Winogrady | os. Kosmonautów,https://www.otodom.pl/pl/oferta/kawalerka-27m2-winogrady-os-kosmonautow-ID4vWwa
66951342,349 000 zł,26.02m²,13 413 zł/m²,1,ul. Hawelańska, Winogrady, Stare Miasto, Poznań, wielkopolskie,parter,tak,brak informacji,Najtańsza KAWALERKA - Tramwaj 3 minuty - Winogrady - OKAZJA,https://www.otodom.pl/pl/oferta/najtansza-kawalerka-tramwaj-3-minuty-winogrady-okazja-ID4vW6m
66951305,350 000 zł,47m²,7 447 zł/m²,2,ul. św. Antoniego, Starołęka Mała, Nowe Miasto, Poznań, wielkopolskie,parter,nie,10 zł,Mieszkanie/ 47m2/ 2 pokoje / św. Antoniego/ Poznań/ Starołęka/,https://www.otodom.pl/pl/oferta/mieszkanie-47m2-2-pokoje-sw-antoniego-poznan-staroleka-ID4vW5L
60369463,,23 - 64 m²,,,ul. Nadolnik, Główna, Nowe Miasto, Poznań, wielkopolskie,,,,Nadolnik Compact Apartments,https://www.otodom.pl/pl/oferta/nadolnik-compact-apartments-ID45iR1
66947039,330 000 zł,26.5m²,12 453 zł/m²,1,ul. Marcelińska, Raszyn, Grunwald, Poznań, wielkopolskie,4 piętro,nie,330 zł,Kawalerka | Marcelińska | Piwnica,https://www.otodom.pl/pl/oferta/kawalerka-marcelinska-piwnica-ID4vTYX
66888479,2 200 zł,29.26m²,75 zł/m²,1,ul. Hawelańska, Winogrady, Stare Miasto, Poznań, wielkopolskie,1 piętro,tak,500 zł,"Nowe mieszkanie na wynajem, top lokalizacja!",https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-wynajem-top-lokalizacja-ID4vEKr
66941466,345 000 zł,29m²,11 897 zł/m²,2,ul. Turkusowa, Winiary, Jeżyce, Poznań, wielkopolskie,4 piętro,tak,600 zł,2 pokoje kawalerka Sołacz ul. Turkusowa,https://www.otodom.pl/pl/oferta/2-pokoje-kawalerka-solacz-ul-turkusowa-ID4vSx4
66939231,241 000 zł,43.1m²,5 592 zł/m²,2,ul. Maksymiliana Jackowskiego, Jeżyce, Jeżyce, Poznań, wielkopolskie,,nie,brak informacji,Strych na Jackowskiego,https://www.otodom.pl/pl/oferta/strych-na-jackowskiego-ID4vRX1
